24 10 2017, 129.37,18.92
26 10 2017, 0.00,6.07
27 10 2017, 0.00,5.51
28 10 2017, 0.00,5.64
29 10 2017, 0.00,6.78
30 10 2017, 152.66,10.49
31 10 2017, 0.00,7.04
01 11 2017, 0.00,8.66
02 11 2017, 0.00,11.70
03 11 2017, 0.00,11.04
04 11 2017, 0.00,12.74
05 11 2017, 542.53,18.58
06 11 2017, 0.00,9.51
07 11 2017, 0.00,6.51
08 11 2017, 0.00,6.27
09 11 2017, 0.00,7.17
10 11 2017, 0.00,10.59
11 11 2017, 0.00,10.63
12 11 2017, 0.00,11.95
13 11 2017, 0.60,15.63
15 11 2017, 0.00,7.07
16 11 2017, 0.00,3.65
17 11 2017, 0.00,4.89
18 11 2017, 0.00,3.58
19 11 2017, 0.00,5.35
20 11 2017, 0.00,6.66
21 11 2017, 0.00,7.32
22 11 2017, 0.00,8.97
23 11 2017, 0.00,10.37
24 11 2017, 1.78,17.09
25 11 2017, 0.00,16.36
26 11 2017, 43.18,17.21
27 11 2017, 82.46,14.31
28 11 2017, 20.31,15.55
29 11 2017, 0.00,13.78
30 11 2017, 0.00,14.86
01 12 2017, 0.00,15.41
02 12 2017, 58.94,14.49
03 12 2017, 0.00,10.09
04 12 2017, 0.00,10.62
05 12 2017, 0.00,6.58
06 12 2017, 0.00,7.14
07 12 2017, 0.00,8.70
08 12 2017, 0.00,7.51
09 12 2017, 0.00,5.25
10 12 2017, 0.00,4.71
11 12 2017, 0.00,5.01
12 12 2017, 0.00,0.55
13 12 2017, 0.00,2.36
14 12 2017, 0.00,3.83
15 12 2017, 0.00,4.19
16 12 2017, 0.00,6.75
17 12 2017, 0.00,7.21
18 12 2017, 0.00,6.53
19 12 2017, 0.00,3.18
20 12 2017, 0.00,3.79
21 12 2017, 0.00,3.13
22 12 2017, 0.00,3.60
23 12 2017, 0.00,3.36
24 12 2017, 0.00,2.83
25 12 2017, 0.00,2.76
26 12 2017, 0.00,2.98
27 12 2017, 0.00,3.19
29 12 2017, 0.00,4.28
30 12 2017, 0.00,4.51
31 12 2017, 0.00,2.30
