00Z 03 Jun 2017, 475.54 17.43
00Z 04 Jun 2017, 9.87 18.35
12Z 04 Jun 2017, 938.79 22.57
00Z 05 Jun 2017, 0.00 17.68
12Z 05 Jun 2017, 569.98 24.77
00Z 06 Jun 2017, 0.00 13.30
12Z 06 Jun 2017, 0.00 11.02
00Z 07 Jun 2017, 0.00 8.80
12Z 07 Jun 2017, 0.00 7.62
00Z 08 Jun 2017, 0.00 5.77
12Z 08 Jun 2017, 0.00 6.50
00Z 09 Jun 2017, 0.00 10.99
12Z 09 Jun 2017, 0.00 12.56
00Z 10 Jun 2017, 0.00 7.79
12Z 10 Jun 2017, 0.00 7.67
00Z 11 Jun 2017, 0.00 4.86
12Z 11 Jun 2017, 0.00 6.92
00Z 12 Jun 2017, 0.00 7.69
12Z 12 Jun 2017, 260.55 8.41
00Z 13 Jun 2017, 0.00 7.99
09Z 13 Jun 2017,
                             Station number: 41112
00Z 14 Jun 2017, 79.61 11.57
12Z 14 Jun 2017, 483.07 17.80
00Z 15 Jun 2017, 0.96 7.99
12Z 16 Jun 2017, 70.31 11.09
00Z 17 Jun 2017, 0.00 9.51
12Z 17 Jun 2017, 0.00 9.93
00Z 18 Jun 2017, 0.00 8.76
09Z 18 Jun 2017, 424.04 12.93
00Z 19 Jun 2017, 142.56 15.65
12Z 19 Jun 2017, 1140.75 17.84
00Z 20 Jun 2017, 0.00 9.52
12Z 20 Jun 2017, 287.80 20.74
00Z 21 Jun 2017, 0.00 12.68
12Z 21 Jun 2017, 318.82 20.15
00Z 22 Jun 2017, 51.40 13.79
12Z 22 Jun 2017, 32.02 13.17
00Z 23 Jun 2017, 0.36 12.17
12Z 23 Jun 2017, 30.46 12.48
00Z 24 Jun 2017, 54.23 13.87
12Z 24 Jun 2017, 0.00 36.28
12Z 25 Jun 2017, 851.33 21.87
00Z 26 Jun 2017, 234.16 17.43
12Z 26 Jun 2017, 366.21 13.44
00Z 27 Jun 2017, 0.00 8.63
12Z 27 Jun 2017, 31.99 10.65
00Z 28 Jun 2017, 113.43 14.05
12Z 28 Jun 2017, 1269.59 27.38
00Z 29 Jun 2017, 7.00 16.20
12Z 29 Jun 2017, 0.00 12.96
00Z 30 Jun 2017, 20.47 10.02
12Z 30 Jun 2017, 85.40 11.76
00Z 01 Jul 2017, 0.00 10.63
12Z 01 Jul 2017, 2796.98 19.16
00Z 02 Jul 2017, 1.03 9.44
12Z 02 Jul 2017, 460.48 11.12
00Z 03 Jul 2017, 1.30 11.08
12Z 03 Jul 2017, 81.09 15.53
00Z 04 Jul 2017, 4.52 14.58
12Z 04 Jul 2017, 572.58 16.77
00Z 05 Jul 2017, 94.19 14.69
12Z 05 Jul 2017, 2789.92 21.57
00Z 06 Jul 2017, 260.08 16.76
12Z 06 Jul 2017, 0.00 13.05
00Z 07 Jul 2017, 3.02 13.55
12Z 07 Jul 2017, 119.80 12.55
00Z 08 Jul 2017, 994.33 25.04
12Z 08 Jul 2017, 177.99 16.43
00Z 09 Jul 2017, 0.00 14.02
12Z 09 Jul 2017, 33.94 15.47
00Z 10 Jul 2017, 17.89 18.91
12Z 10 Jul 2017, 741.06 19.75
00Z 11 Jul 2017, 0.00 12.93
12Z 11 Jul 2017, 0.00 12.24
00Z 12 Jul 2017, 0.00 14.08
12Z 12 Jul 2017, 0.00 13.46
00Z 13 Jul 2017, 61.85 15.76
12Z 13 Jul 2017, 873.21 22.67
00Z 14 Jul 2017, 37.65 15.33
12Z 14 Jul 2017, 219.62 16.51
00Z 15 Jul 2017, 98.08 17.58
12Z 15 Jul 2017, 1557.33 23.14
00Z 16 Jul 2017, 22.75 18.49
12Z 16 Jul 2017, 265.41 20.45
00Z 17 Jul 2017, 179.26 19.69
00Z 18 Jul 2017, 0.00 13.14
12Z 18 Jul 2017, 29.84 18.49
00Z 19 Jul 2017, 392.14 25.35
12Z 19 Jul 2017, 529.59 24.25
00Z 20 Jul 2017, 150.87 16.25
12Z 20 Jul 2017, 392.71 21.85
00Z 21 Jul 2017, 188.83 18.55
12Z 21 Jul 2017, 38.74 21.58
00Z 22 Jul 2017, 191.11 17.51
12Z 22 Jul 2017, 0.00 11.97
00Z 23 Jul 2017, 28.84 13.09
09Z 23 Jul 2017, 613.35 23.04
00Z 24 Jul 2017, 8.94 16.41
12Z 24 Jul 2017, 2913.58 24.80
00Z 25 Jul 2017, 123.34 19.85
12Z 25 Jul 2017, 2659.92 30.43
00Z 26 Jul 2017, 510.35 21.44
12Z 26 Jul 2017, 618.97 19.95
00Z 27 Jul 2017, 0.00 13.29
12Z 27 Jul 2017, 0.74 14.93
00Z 28 Jul 2017, 26.59 15.71
12Z 28 Jul 2017, 2184.84 22.50
00Z 29 Jul 2017, 214.14 15.28
12Z 29 Jul 2017, 391.60 11.07
00Z 30 Jul 2017, 0.00 11.23
12Z 30 Jul 2017, 0.00 11.35
00Z 31 Jul 2017, 364.23 24.81
